NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Andrea,N/A,99,N/A,155
Andres,190,N/A,205,N/A
Andrew,18,N/A,61,N/A
Andy,274,N/A,449,N/A
Angel,57,227,62,521
Angela,N/A,193,N/A,226
Angelica,N/A,374,N/A,655
Angelina,N/A,132,N/A,305
Angeline,N/A,759,N/A,N/A
Angelique,N/A,389,N/A,842
Angelo,310,N/A,313,N/A
Angie,N/A,491,N/A,719
Anika,N/A,583,N/A,821
Aniya,N/A,454,N/A,N/A
Aniyah,N/A,192,N/A,378
Ann,N/A,959,N/A,N/A
Anna,N/A,35,N/A,83
Annabel,N/A,519,N/A,N/A
Annabell,N/A,985,N/A,N/A
Annabella,N/A,307,N/A,N/A
Annabelle,N/A,100,N/A,323
Annalee,N/A,920,N/A,N/A
Annalise,N/A,510,N/A,417
Anne,N/A,561,N/A,572
Annie,N/A,377,N/A,206
Annika,N/A,528,N/A,838
Ansley,N/A,698,N/A,N/A
Anthony,15,N/A,44,N/A
Antoine,848,N/A,N/A,N/A
Anton,981,N/A,N/A,N/A
Antonella,N/A,N/A,N/A,434
Antonio,118,N/A,177,N/A
Anya,N/A,395,N/A,486
Apollo,993,N/A,388,N/A
April,N/A,396,N/A,530
Arabella,N/A,245,N/A,231
Araceli,N/A,925,N/A,903
Araya,N/A,N/A,N/A,895
Archer,404,N/A,126,N/A
Archie,N/A,N/A,377,N/A
Arely,N/A,619,N/A,N/A
Ares,N/A,N/A,482,N/A
Ari,435,N/A,329,438
Aria,N/A,91,N/A,23
Ariah,N/A,817,N/A,460
Arian,649,N/A,897,N/A
Ariana,N/A,74,N/A,90
Arianna,N/A,49,N/A,175
Ariel,772,181,571,237
Ariella,N/A,544,N/A,183
Arielle,N/A,410,N/A,385
Aries,N/A,N/A,872,N/A
Ariya,N/A,N/A,N/A,538
Ariyah,N/A,N/A,N/A,369
Arjun,489,N/A,576,N/A
Arlet,N/A,N/A,N/A,741
Arleth,N/A,N/A,N/A,634
Arlette,N/A,N/A,N/A,800
Arlo,818,N/A,169,N/A
Armando,366,N/A,547,N/A
Armani,432,690,398,444
Arnav,864,N/A,N/A,N/A
Aron,709,N/A,722,N/A
Artemis,N/A,N/A,N/A,904
Arthur,355,N/A,140,N/A
Arturo,459,N/A,579,N/A
Arya,N/A,413,N/A,121
Aryan,666,N/A,817,N/A
Aryana,N/A,738,N/A,N/A
Aryanna,N/A,531,N/A,N/A
Asa,562,N/A,451,N/A
Asaiah,N/A,N/A,994,N/A
Asher,108,N/A,19,N/A
Ashley,N/A,50,N/A,154
Ashlyn,N/A,206,N/A,779
Ashlynn,N/A,276,N/A,786
Ashton,141,N/A,146,N/A
Ashtyn,N/A,998,N/A,N/A
Asia,N/A,794,N/A,N/A
Aspen,N/A,504,N/A,196
Aspyn,N/A,N/A,N/A,809
Astrid,N/A,N/A,N/A,403
Atharv,N/A,N/A,995,N/A
Athena,N/A,247,N/A,78
Atlas,N/A,N/A,129,N/A
Atreus,N/A,N/A,582,N/A
Atticus,410,N/A,274,N/A
Aubree,N/A,60,N/A,238
Aubrey,N/A,15,N/A,81
Aubri,N/A,761,N/A,N/A
Aubriana,N/A,986,N/A,N/A
Aubrianna,N/A,806,N/A,N/A
Aubrie,N/A,326,N/A,891
Aubriella,N/A,N/A,N/A,930
Aubrielle,N/A,938,N/A,896
Audrey,N/A,41,N/A,67
Audriana,N/A,782,N/A,N/A
Audrianna,N/A,952,N/A,N/A
Audrina,N/A,440,N/A,N/A
August,333,N/A,109,862
Augustine,999,N/A,623,N/A
Augustus,697,N/A,467,N/A
Aurelia,N/A,N/A,N/A,490
Aurelio,N/A,N/A,986,N/A
Aurora,N/A,166,N/A,31
Austin,58,N/A,111,N/A
Austyn,898,N/A,N/A,N/A
Autumn,N/A,68,N/A,71
Ava,N/A,5,N/A,7
Avah,N/A,818,N/A,941
Avalynn,N/A,N/A,N/A,955
Avayah,N/A,N/A,N/A,868
Averi,N/A,801,N/A,905
Averie,N/A,458,N/A,517
Avery,187,13,221,26
Avi,N/A,N/A,717,N/A
Aviana,N/A,860,N/A,743
Avianna,N/A,933,N/A,443
Avyaan,N/A,N/A,831,N/A
Axel,160,N/A,77,N/A
Axl,N/A,N/A,867,N/A
Axton,917,N/A,639,N/A
Aya,N/A,989,N/A,749
Ayaan,660,N/A,560,N/A
Ayan,N/A,N/A,854,N/A
Ayana,N/A,867,N/A,N/A
Ayanna,N/A,751,N/A,N/A
Aydan,701,N/A,N/A,N/A
Ayden,69,N/A,171,N/A
Aydin,710,N/A,N/A,N/A
Ayla,N/A,250,N/A,98
Ayleen,N/A,726,N/A,835
Aylin,N/A,460,N/A,431
Azael,N/A,N/A,849,N/A
Azalea,N/A,906,N/A,404
Azaria,N/A,871,N/A,845
Azariah,N/A,963,641,619
Aziel,N/A,N/A,278,N/A
Azrael,N/A,N/A,732,N/A
Azriel,N/A,N/A,734,N/A
Bailee,N/A,501,N/A,887
Bailey,N/A,79,N/A,182
Baker,N/A,N/A,433,N/A
Banks,N/A,N/A,404,N/A
Barbara,N/A,900,N/A,976
Barrett,375,N/A,208,N/A
Baylee,N/A,336,N/A,869
Bayleigh,N/A,939,N/A,N/A
Baylor,N/A,N/A,390,810
Bear,N/A,N/A,767,N/A
Beatrice,N/A,691,N/A,555
Beau,311,N/A,89,N/A
Beckett,314,N/A,195,N/A
Beckham,532,N/A,202,N/A
Belen,N/A,943,N/A,742
Bella,N/A,54,N/A,85
Bellamy,N/A,N/A,628,717
Belle,N/A,N/A,N/A,977
Ben,745,N/A,770,N/A
Benedict,N/A,N/A,963,N/A
Benicio,N/A,N/A,763,N/A
Benjamin,16,N/A,9,N/A
Bennett,202,N/A,83,N/A
Benson,590,N/A,643,N/A
Bentlee,580,N/A,N/A,N/A
