NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Elsie,N/A,397,N/A,188
Elyse,N/A,527,N/A,817
Emanuel,306,N/A,461,N/A
Ember,N/A,580,N/A,160
Emberly,N/A,N/A,N/A,598
Emberlynn,N/A,N/A,N/A,908
Emelia,N/A,688,N/A,520
Emely,N/A,393,N/A,446
Emerald,N/A,N/A,N/A,768
Emerie,N/A,N/A,N/A,588
Emerson,364,244,271,170
Emersyn,N/A,622,N/A,134
Emery,655,211,727,82
Emilee,N/A,542,N/A,N/A
Emilia,N/A,268,N/A,44
Emiliana,N/A,N/A,N/A,995
Emiliano,302,N/A,152,N/A
Emilie,N/A,733,N/A,N/A
Emilio,297,N/A,198,N/A
Emily,N/A,6,N/A,17
Emir,N/A,N/A,616,N/A
Emma,N/A,2,N/A,2
Emmalee,N/A,805,N/A,N/A
Emmaline,N/A,890,N/A,N/A
Emmalyn,N/A,505,N/A,880
Emmalynn,N/A,910,N/A,N/A
Emmanuel,165,N/A,170,N/A
Emmeline,N/A,N/A,N/A,985
Emmett,186,N/A,115,N/A
Emmie,N/A,N/A,N/A,736
Emmitt,659,N/A,599,N/A
Emmy,N/A,716,N/A,507
Emory,983,881,845,466
Enoch,N/A,N/A,814,N/A
Enrique,369,N/A,542,N/A
Ensley,N/A,N/A,N/A,828
Enzo,417,N/A,121,N/A
Eren,N/A,N/A,952,N/A
Eric,107,N/A,229,N/A
Erica,N/A,506,N/A,N/A
Erick,236,N/A,321,N/A
Erik,289,N/A,432,N/A
Erika,N/A,539,N/A,N/A
Erin,N/A,262,N/A,685
Ermias,N/A,N/A,893,N/A
Ernest,915,N/A,N/A,N/A
Ernesto,541,N/A,869,N/A
Esme,N/A,977,N/A,307
Esmeralda,N/A,358,N/A,371
Esteban,389,N/A,431,N/A
Estella,N/A,882,N/A,498
Estelle,N/A,950,N/A,723
Esther,N/A,242,N/A,139
Estrella,N/A,562,N/A,677
Ethan,3,N/A,21,N/A
Eugene,740,N/A,934,N/A
Eva,N/A,86,N/A,108
Evalyn,N/A,927,N/A,N/A
Evan,47,N/A,134,N/A
Evander,N/A,N/A,823,N/A
Evangeline,N/A,292,N/A,268
Eve,N/A,558,N/A,554
Evelyn,N/A,27,N/A,9
Evelynn,N/A,554,N/A,333
Everest,N/A,N/A,832,N/A
Everett,214,N/A,81,N/A
Everlee,N/A,N/A,N/A,362
Everleigh,N/A,N/A,N/A,99
Everly,N/A,907,N/A,57
Evie,N/A,602,N/A,275
Ezekiel,198,N/A,49,N/A
Ezequiel,515,N/A,332,N/A
Ezra,184,N/A,25,648
Ezrah,N/A,N/A,941,N/A
Fabian,298,N/A,457,N/A
Faith,N/A,75,N/A,191
Fallon,N/A,N/A,N/A,714
Farrah,N/A,552,N/A,N/A
Fatima,N/A,302,N/A,352
Faye,N/A,N/A,N/A,564
Felicity,N/A,653,N/A,457
Felipe,675,N/A,846,N/A
Felix,316,N/A,192,N/A
Fernanda,N/A,376,N/A,458
Fernando,243,N/A,342,N/A
Finley,547,349,282,218
Finn,291,N/A,176,N/A
Finnegan,491,N/A,447,N/A
Finnley,N/A,N/A,595,N/A
Fiona,N/A,209,N/A,357
Fisher,831,N/A,890,N/A
Fletcher,791,N/A,677,N/A
Flora,N/A,N/A,N/A,726
Florence,N/A,N/A,N/A,622
Flynn,692,N/A,712,N/A
Ford,N/A,N/A,473,N/A
Forest,N/A,N/A,706,N/A
Forrest,N/A,N/A,402,N/A
Foster,995,N/A,N/A,N/A
Frances,N/A,764,N/A,418
Francesca,N/A,486,N/A,387
Francis,593,N/A,462,N/A
Francisco,225,N/A,288,N/A
Franco,977,N/A,838,N/A
Frank,319,N/A,439,N/A
Frankie,877,N/A,N/A,545
Franklin,528,N/A,408,N/A
Freddy,913,N/A,N/A,N/A
Frederick,536,N/A,474,N/A
Freya,N/A,N/A,N/A,129
Freyja,N/A,N/A,N/A,633
Gabriel,24,N/A,36,N/A
Gabriela,N/A,201,N/A,339
Gabriella,N/A,37,N/A,89
Gabrielle,N/A,129,N/A,499
Gael,146,N/A,104,N/A
Gage,172,N/A,649,N/A
Gaige,975,N/A,N/A,N/A
Galilea,N/A,746,N/A,731
Garrett,213,N/A,463,N/A
Gary,533,N/A,961,N/A
Gatlin,N/A,N/A,724,N/A
Gauge,741,N/A,N/A,N/A
Gavin,40,N/A,206,N/A
Gavyn,813,N/A,N/A,N/A
Gemma,N/A,317,N/A,197
Genesis,N/A,56,N/A,65
Genevieve,N/A,228,N/A,165
George,166,N/A,142,N/A
Georgia,N/A,298,N/A,162
Georgina,N/A,N/A,N/A,878
Gerald,686,N/A,N/A,N/A
Geraldine,N/A,992,N/A,N/A
Gerardo,371,N/A,581,N/A
Gia,N/A,332,N/A,267
Giada,N/A,819,N/A,N/A
Gian,N/A,N/A,921,N/A
Giana,N/A,606,N/A,898
Giancarlo,808,N/A,N/A,N/A
Gianna,N/A,73,N/A,22
Gianni,449,N/A,379,N/A
Gibson,853,N/A,N/A,N/A
Gideon,390,N/A,333,N/A
Gilbert,996,N/A,N/A,N/A
Gilberto,909,N/A,N/A,N/A
Giovani,638,N/A,N/A,N/A
Giovanna,N/A,878,N/A,936
Giovanni,119,N/A,122,N/A
Giovanny,765,N/A,N/A,N/A
Giselle,N/A,183,N/A,351
Gisselle,N/A,980,N/A,N/A
Giuliana,N/A,296,N/A,852
Gloria,N/A,522,N/A,631
Goldie,N/A,N/A,N/A,813
Gordon,N/A,N/A,968,N/A
Grace,N/A,21,N/A,35
Gracelyn,N/A,507,N/A,414
Gracelynn,N/A,615,N/A,359
Gracie,N/A,158,N/A,257
Grady,332,N/A,405,N/A
Graeme,987,N/A,N/A,N/A
Graham,215,N/A,155,N/A
Grant,163,N/A,220,N/A
Graysen,971,N/A,N/A,N/A
Grayson,85,N/A,37,N/A
Gregory,287,N/A,496,N/A
Greta,N/A,643,N/A,858
Grey,N/A,N/A,758,N/A
Greyson,174,N/A,95,N/A
Griffin,220,N/A,230,N/A
Guadalupe,N/A,391,N/A,N/A
Guillermo,617,N/A,843,N/A
Guinevere,N/A,N/A,N/A,913
Gunnar,451,N/A,589,N/A
Gunner,293,N/A,387,N/A
Gustavo,408,N/A,636,N/A
Gwen,N/A,N/A,N/A,850
Gwendolyn,N/A,514,N/A,389
Hadassah,N/A,832,N/A,615
Hadlee,N/A,N/A,N/A,854
Hadleigh,N/A,N/A,N/A,965
Hadley,N/A,130,N/A,111
Hailee,N/A,666,N/A,N/A
Hailey,N/A,32,N/A,80
Haisley,N/A,N/A,N/A,471
Haleigh,N/A,928,N/A,N/A
Haley,N/A,185,N/A,603
Halle,N/A,635,N/A,708
Hallie,N/A,525,N/A,227
Halo,N/A,N/A,N/A,769
Hamza,663,N/A,603,N/A
Hana,N/A,841,N/A,724
Hank,685,N/A,445,N/A
Hanna,N/A,348,N/A,543
Hannah,N/A,22,N/A,47
Harlan,N/A,N/A,725,N/A
Harlee,N/A,954,N/A,881
Harlem,N/A,N/A,955,N/A
Harley,632,415,927,331
Harlow,N/A,578,N/A,261
Harmoni,N/A,N/A,N/A,831
Harmony,N/A,197,N/A,215
Harold,836,N/A,925,N/A
Harper,605,24,N/A,11
Harrison,181,N/A,127,N/A
Harry,718,N/A,695,N/A
Harvey,797,N/A,403,N/A
Hassan,861,N/A,779,N/A
Hattie,N/A,709,N/A,411
Haven,N/A,432,N/A,285
Hayden,109,196,160,343
Hayes,689,N/A,209,N/A
Haylee,N/A,301,N/A,N/A
Hayleigh,N/A,994,N/A,N/A
Hayley,N/A,463,N/A,829
Haylie,N/A,895,N/A,N/A
Hazel,N/A,175,N/A,27
Heath,863,N/A,861,N/A
Heather,N/A,814,N/A,N/A
Heaven,N/A,321,N/A,496
Hector,267,N/A,354,N/A
Heidi,N/A,334,N/A,370
Helen,N/A,402,N/A,421
Helena,N/A,560,N/A,473
Hendrix,838,N/A,272,N/A
Henley,N/A,N/A,N/A,737
Henrik,N/A,N/A,926,N/A
Henry,43,N/A,7,N/A
Hezekiah,823,N/A,586,N/A
Holden,296,N/A,283,N/A
Holland,N/A,N/A,N/A,590
Holly,N/A,424,N/A,459
Hope,N/A,220,N/A,260
Houston,941,N/A,694,N/A
Howard,988,N/A,N/A,N/A
Hudson,93,N/A,27,N/A
Hugh,932,N/A,811,N/A
Hugo,436,N/A,399,N/A
Hunter,45,N/A,101,780
Huxley,N/A,N/A,609,N/A
Ian,78,N/A,72,N/A
Ibrahim,487,N/A,419,N/A
Idris,N/A,N/A,766,N/A
Ignacio,952,N/A,953,N/A
Iker,230,N/A,385,N/A
Ila,N/A,N/A,N/A,678
Iliana,N/A,700,N/A,870
Imani,N/A,386,N/A,503
Immanuel,967,N/A,N/A,N/A
Imran,N/A,N/A,996,N/A
Inaya,N/A,N/A,N/A,966
India,N/A,N/A,N/A,974
Indie,N/A,N/A,N/A,553
Indigo,N/A,N/A,N/A,982
Ingrid,N/A,908,N/A,N/A
Ira,N/A,N/A,844,N/A
Irene,N/A,655,N/A,667
Iris,N/A,282,N/A,84
Isaac,30,N/A,42,N/A
Isabel,N/A,134,N/A,156
Isabela,N/A,618,N/A,584
Isabella,N/A,3,N/A,6
Isabelle,N/A,126,N/A,137
Isai,947,N/A,N/A,N/A
Isaiah,42,N/A,58,N/A
Isaias,512,N/A,454,N/A
Ishaan,889,N/A,857,N/A
Isiah,775,N/A,N/A,N/A
Isis,N/A,610,N/A,N/A
Isla,N/A,230,N/A,36
Ismael,382,N/A,312,N/A
Israel,252,N/A,233,N/A
Issac,444,N/A,686,N/A
Itzayana,N/A,N/A,N/A,855
Itzel,N/A,429,N/A,495
Ivaan,N/A,N/A,997,N/A
Ivan,113,N/A,159,N/A
Ivanna,N/A,677,N/A,569
Ivory,N/A,N/A,N/A,518
Ivy,N/A,187,N/A,42
Iyla,N/A,N/A,N/A,679
Izabella,N/A,159,N/A,379
Izabelle,N/A,987,N/A,N/A
Izaiah,399,N/A,539,N/A
Izayah,855,N/A,N/A,N/A
Jabari,910,N/A,N/A,N/A
Jace,86,N/A,103,N/A
Jack,46,N/A,15,N/A
Jackson,22,N/A,23,N/A
Jacob,1,N/A,32,N/A
Jacoby,523,N/A,N/A,N/A
Jacqueline,N/A,243,N/A,501
Jada,N/A,208,N/A,832
Jade,N/A,112,N/A,88
Jaden,140,N/A,320,N/A
Jadiel,707,N/A,878,N/A
Jadon,731,N/A,N/A,N/A
Jaeden,844,N/A,N/A,N/A
Jael,989,N/A,N/A,N/A
Jaelyn,N/A,471,N/A,N/A
Jaelynn,N/A,550,N/A,N/A
Jagger,557,N/A,784,N/A
Jaida,N/A,784,N/A,N/A
Jaiden,207,N/A,455,N/A
Jaidyn,976,N/A,N/A,N/A
Jaime,396,N/A,594,N/A
Jairo,764,N/A,899,N/A
Jakai,N/A,N/A,801,N/A
Jakari,N/A,N/A,709,N/A
Jakayla,N/A,930,N/A,N/A
Jake,153,N/A,407,N/A
Jakob,395,N/A,988,N/A
Jalen,470,N/A,524,N/A
Jaliyah,N/A,466,N/A,610
Jamal,681,N/A,N/A,N/A
Jamar,857,N/A,N/A,N/A
Jamari,420,N/A,512,N/A
Jamarion,651,N/A,N/A,N/A
James,14,N/A,4,N/A
Jameson,208,N/A,85,N/A
Jamie,845,438,622,734
Jamir,815,N/A,534,N/A
Jamison,498,N/A,590,N/A
Janae,N/A,807,N/A,N/A
Jane,N/A,340,N/A,290
Janelle,N/A,425,N/A,671
Janessa,N/A,669,N/A,N/A
Janiya,N/A,663,N/A,N/A
Janiyah,N/A,436,N/A,893
Jaqueline,N/A,902,N/A,N/A
Jared,294,N/A,378,N/A
Jarrett,992,N/A,N/A,N/A
Jase,304,N/A,554,N/A
Jasiah,668,N/A,468,N/A
Jasmin,N/A,515,N/A,N/A
Jasmine,N/A,85,N/A,178
Jason,76,N/A,145,N/A
Jasper,264,N/A,130,N/A
Javier,211,N/A,239,N/A
Javion,854,N/A,N/A,N/A
Javon,729,N/A,N/A,N/A
Jax,305,N/A,273,N/A
Jaxen,568,N/A,N/A,N/A
Jaxon,66,N/A,67,N/A
Jaxson,106,N/A,119,N/A
Jaxton,510,N/A,475,N/A
Jaxx,N/A,N/A,983,N/A
Jaxxon,N/A,N/A,744,N/A
Jay,388,N/A,367,N/A
Jayce,200,N/A,154,N/A
Jaycee,N/A,547,N/A,N/A
Jayceon,N/A,N/A,557,N/A
Jaycob,885,N/A,N/A,N/A
Jayda,N/A,357,N/A,830
Jayde,N/A,783,N/A,N/A
Jayden,7,380,46,N/A
Jaydon,688,N/A,N/A,N/A
Jayla,N/A,170,N/A,340
Jaylah,N/A,459,N/A,937
Jaylani,N/A,N/A,N/A,763
Jaylee,N/A,582,N/A,N/A
Jayleen,N/A,409,N/A,607
Jaylen,257,N/A,319,N/A
Jaylene,N/A,692,N/A,N/A
Jaylin,778,757,N/A,N/A
Jaylon,997,N/A,N/A,N/A
Jaylynn,N/A,593,N/A,N/A
Jayson,374,N/A,549,N/A
Jaziel,N/A,N/A,412,N/A
Jazlyn,N/A,390,N/A,516
Jazlynn,N/A,613,N/A,N/A
Jazmin,N/A,356,N/A,688
Jazmine,N/A,333,N/A,863
Jazzlyn,N/A,955,N/A,N/A
Jedidiah,890,N/A,808,N/A
Jefferson,615,N/A,759,N/A
Jeffery,639,N/A,N/A,N/A
Jeffrey,238,N/A,452,N/A
Jemma,N/A,685,N/A,700
Jenesis,N/A,N/A,N/A,709
Jenna,N/A,204,N/A,635
Jennifer,N/A,163,N/A,502
Jenny,N/A,863,N/A,N/A
Jensen,509,N/A,303,N/A
Jeremiah,52,N/A,93,N/A
Jeremias,N/A,N/A,917,N/A
Jeremy,137,N/A,245,N/A
Jericho,N/A,N/A,930,N/A
Jermaine,656,N/A,N/A,N/A
Jerome,706,N/A,N/A,N/A
Jerry,447,N/A,753,N/A
Jessa,N/A,999,N/A,N/A
Jesse,151,N/A,194,N/A
Jessica,N/A,138,N/A,508
Jessie,698,641,N/A,796
Jesus,101,N/A,165,N/A
Jett,344,N/A,210,N/A
Jewel,N/A,809,N/A,N/A
Jianna,N/A,N/A,N/A,856
Jillian,N/A,286,N/A,N/A
Jimena,N/A,474,N/A,493
Jimmy,460,N/A,774,N/A
Jionni,870,N/A,N/A,N/A
Jiraiya,N/A,N/A,791,N/A
Joanna,N/A,324,N/A,321
Joaquin,325,N/A,328,N/A
Jocelyn,N/A,92,N/A,314
Jocelynn,N/A,766,N/A,N/A
Joe,530,N/A,895,N/A
Joel,145,N/A,212,N/A
Joelle,N/A,N/A,N/A,783
Joey,610,N/A,894,N/A
Johan,480,N/A,580,N/A
Johann,942,N/A,N/A,N/A
Johanna,N/A,482,N/A,792
John,28,N/A,26,N/A
Johnathan,258,N/A,502,N/A
Johnathon,829,N/A,N/A,N/A
Johnny,281,N/A,400,N/A
Jolene,N/A,891,N/A,485
Jolie,N/A,775,N/A,789
Jon,625,N/A,896,N/A
Jonah,131,N/A,135,N/A
Jonas,474,N/A,558,N/A
Jonathan,35,N/A,79,N/A
Jonathon,652,N/A,N/A,N/A
Jones,N/A,N/A,946,N/A
Jordan,48,222,92,504
Jorden,908,N/A,N/A,N/A
Jordyn,824,121,N/A,235
Jordynn,N/A,780,N/A,N/A
Jorge,191,N/A,284,N/A
Jose,72,N/A,88,N/A
Joselyn,N/A,461,N/A,N/A
Joseph,20,N/A,30,N/A
Josephine,N/A,160,N/A,70
Joshua,17,N/A,60,N/A
Josiah,79,N/A,51,N/A
Josie,N/A,254,N/A,119
Joslyn,N/A,678,N/A,N/A
Josue,237,N/A,289,N/A
Journee,N/A,589,N/A,195
Journey,N/A,327,N/A,315
Journi,N/A,N/A,N/A,625
Jovani,805,N/A,N/A,N/A
Jovanni,734,N/A,879,N/A
Jovie,N/A,N/A,N/A,733
Joy,N/A,498,N/A,467
Joyce,N/A,892,N/A,986
Joziah,871,N/A,806,N/A
Jream,N/A,N/A,N/A,777
Jrue,N/A,N/A,904,N/A
Juan,92,N/A,141,N/A
Judah,273,N/A,181,N/A
Jude,162,N/A,161,N/A
Judith,N/A,896,N/A,873
Judson,N/A,N/A,864,N/A
Juelz,896,N/A,N/A,N/A
Julia,N/A,65,N/A,112
Julian,53,N/A,35,N/A
Juliana,N/A,147,N/A,220
Julianna,N/A,186,N/A,326
Julianne,N/A,825,N/A,N/A
Julie,N/A,385,N/A,715
Julien,582,N/A,657,N/A
Juliet,N/A,253,N/A,293
Julieta,N/A,N/A,N/A,441
Juliette,N/A,310,N/A,163
Julio,383,N/A,550,N/A
Julissa,N/A,400,N/A,956
Julius,331,N/A,348,N/A
June,N/A,435,N/A,172
Junior,819,N/A,771,N/A
Juniper,N/A,883,N/A,114
Justice,519,518,764,879
Justin,74,N/A,180,N/A
Justus,792,N/A,N/A,N/A
Kabir,N/A,N/A,971,N/A
Kade,434,N/A,350,N/A
Kaden,128,N/A,267,N/A
Kadence,N/A,469,N/A,N/A
Kaeden,802,N/A,N/A,N/A
Kael,990,N/A,N/A,N/A
Kaelyn,N/A,417,N/A,N/A
Kaelynn,N/A,913,N/A,N/A
Kahlani,N/A,N/A,N/A,1000
Kai,195,919,59,790
Kaia,N/A,559,N/A,225
Kaiden,154,N/A,167,N/A
Kailani,N/A,N/A,N/A,223
Kailee,N/A,743,N/A,N/A
Kailey,N/A,412,N/A,N/A
Kailyn,N/A,492,N/A,N/A
Kailynn,N/A,941,N/A,N/A
Kairi,N/A,884,N/A,926
Kairo,N/A,N/A,250,N/A
Kaisen,N/A,N/A,909,N/A
Kaiser,N/A,N/A,751,N/A
Kaison,N/A,N/A,508,N/A
Kaitlin,N/A,837,N/A,N/A
Kaitlyn,N/A,118,N/A,627
Kaitlynn,N/A,699,N/A,N/A
Kaiya,N/A,799,N/A,907
Kaizen,N/A,N/A,905,N/A
Kalani,N/A,N/A,N/A,374
Kale,719,N/A,N/A,N/A
Kaleb,126,N/A,259,N/A
Kaleigh,N/A,793,N/A,N/A
Kalel,N/A,N/A,999,N/A
Kali,N/A,418,N/A,250
Kaliyah,N/A,535,N/A,604
Kallie,N/A,664,N/A,911
Kamari,608,N/A,368,882
Kamden,438,N/A,600,N/A
Kameron,276,N/A,406,N/A
Kamila,N/A,362,N/A,212
Kamilah,N/A,N/A,N/A,987
Kamiyah,N/A,N/A,N/A,849
Kamron,816,N/A,N/A,N/A
Kamryn,833,361,980,531
Kanan,N/A,N/A,998,N/A
Kane,545,N/A,360,N/A
Kannon,N/A,N/A,664,N/A
Kara,N/A,365,N/A,874
Kareem,743,N/A,673,N/A
Karen,N/A,353,N/A,N/A
Karim,N/A,N/A,772,N/A
Karina,N/A,363,N/A,702
Karis,N/A,869,N/A,N/A
Karissa,N/A,879,N/A,N/A
Karla,N/A,411,N/A,686
Karlee,N/A,693,N/A,N/A
Karlie,N/A,944,N/A,N/A
Karma,N/A,903,N/A,N/A
Karsen,991,N/A,N/A,N/A
Karson,363,N/A,339,N/A
Karsyn,N/A,734,N/A,608
Karter,347,N/A,217,889
Kartier,N/A,N/A,912,N/A
Kase,972,N/A,862,N/A
Kasen,468,N/A,531,N/A
Kasey,N/A,981,N/A,N/A
Kash,520,N/A,243,N/A
Kashton,N/A,N/A,380,N/A
Kason,385,N/A,478,N/A
Kassandra,N/A,682,N/A,N/A
Kassidy,N/A,467,N/A,823
Kataleya,N/A,N/A,N/A,774
Katalina,N/A,1000,N/A,475
Kate,N/A,194,N/A,452
Katelyn,N/A,131,N/A,900
Katelynn,N/A,427,N/A,N/A
Katherine,N/A,64,N/A,166
Kathleen,N/A,667,N/A,N/A
Kathryn,N/A,266,N/A,658
Katie,N/A,219,N/A,559
Katrina,N/A,942,N/A,N/A
Kaya,N/A,811,N/A,N/A
Kayce,N/A,N/A,587,N/A
Kayden,99,585,107,N/A
Kaydence,N/A,271,N/A,883
Kayla,N/A,70,N/A,279
Kaylani,N/A,N/A,N/A,253
Kaylee,N/A,34,N/A,161
Kayleigh,N/A,264,N/A,528
Kaylen,N/A,935,N/A,N/A
Kaylie,N/A,428,N/A,N/A
Kaylin,N/A,468,N/A,N/A
Kaylyn,N/A,923,N/A,N/A
Kaylynn,N/A,624,N/A,N/A
Kaysen,957,N/A,541,N/A
Kayson,579,N/A,279,N/A
Keagan,585,N/A,N/A,N/A
Keanu,N/A,N/A,592,N/A
Keaton,394,N/A,804,N/A
Keegan,244,N/A,567,N/A
Keenan,886,N/A,N/A,N/A
Kehlani,N/A,N/A,N/A,152
Keilani,N/A,N/A,N/A,632
Keily,N/A,N/A,N/A,967
Keira,N/A,190,N/A,535
Keith,361,N/A,693,N/A
Kellan,373,N/A,851,N/A
Kellen,337,N/A,826,N/A
Kelly,N/A,354,N/A,805
Kelsey,N/A,267,N/A,629
Kelvin,550,N/A,910,N/A
Kendal,N/A,847,N/A,N/A
Kendall,648,116,N/A,301
Kendra,N/A,387,N/A,703
Kendrick,475,N/A,464,N/A
Kendyl,N/A,961,N/A,N/A
Kenia,N/A,642,N/A,919
Kenji,N/A,N/A,755,N/A
Kenley,N/A,499,N/A,N/A
Kenna,N/A,885,N/A,681
Kennedi,N/A,508,N/A,560
Kennedy,N/A,83,N/A,74
Kenneth,175,N/A,264,N/A
Kenny,749,N/A,N/A,N/A
Kensley,N/A,728,N/A,612
Kenya,N/A,532,N/A,N/A
Kenzie,N/A,270,N/A,519
Kenzo,N/A,N/A,504,N/A
Kevin,67,N/A,182,N/A
Keyla,N/A,842,N/A,899
Khai,N/A,N/A,865,N/A
Khalani,N/A,N/A,N/A,884
Khaleesi,N/A,N/A,N/A,662
Khalid,N/A,N/A,959,N/A
Khalil,445,N/A,308,N/A
Khari,N/A,N/A,799,N/A
Khaza,N/A,N/A,839,N/A
Khloe,N/A,55,N/A,186
Kiaan,N/A,N/A,768,N/A
Kian,600,N/A,456,N/A
Kiana,N/A,741,N/A,753
Kiara,N/A,346,N/A,252
Kiera,N/A,590,N/A,N/A
Kieran,556,N/A,490,N/A
Kiley,N/A,513,N/A,N/A
Killian,820,N/A,364,N/A
Kimber,N/A,788,N/A,775
Kimberly,N/A,88,N/A,210
Kimora,N/A,758,N/A,N/A
King,256,N/A,222,N/A
Kingsley,865,N/A,741,N/A
Kingston,210,N/A,128,N/A
Kinley,N/A,180,N/A,527
Kinslee,N/A,N/A,N/A,806
Kinsley,N/A,179,N/A,61
Kira,N/A,359,N/A,390
Kirsten,N/A,988,N/A,N/A
Knox,368,N/A,200,N/A
Koa,N/A,N/A,351,N/A
Kobe,506,N/A,381,N/A
Koda,N/A,N/A,471,N/A
Kody,693,N/A,N/A,N/A
Koen,N/A,N/A,812,N/A
Kohen,951,N/A,476,N/A
Kolby,788,N/A,N/A,N/A
Kole,708,N/A,N/A,N/A
Kolson,N/A,N/A,882,N/A
Kolten,770,N/A,N/A,N/A
Kolton,378,N/A,507,N/A
Konner,875,N/A,N/A,N/A
Konnor,822,N/A,N/A,N/A
Kooper,N/A,N/A,984,N/A
Kora,N/A,975,N/A,462
Korbin,559,N/A,942,N/A
Kori,N/A,N/A,N/A,744
Kourtney,N/A,720,N/A,N/A
Krew,N/A,N/A,625,N/A
Krish,846,N/A,N/A,N/A
Kristen,N/A,660,N/A,N/A
Kristian,576,N/A,954,N/A
Kristina,N/A,689,N/A,N/A
Kristopher,503,N/A,N/A,N/A
Krystal,N/A,829,N/A,N/A
Kye,N/A,N/A,866,N/A
Kyla,N/A,283,N/A,557
Kylah,N/A,973,N/A,N/A
Kylan,642,N/A,514,N/A
Kyle,127,N/A,393,N/A
Kylee,N/A,156,N/A,727
Kyleigh,N/A,288,N/A,N/A
Kylen,998,N/A,901,N/A
Kyler,266,N/A,252,N/A
Kylian,N/A,N/A,525,N/A
Kylie,N/A,59,N/A,198
Kylo,N/A,N/A,436,N/A
Kymani,727,N/A,N/A,N/A
Kyndal,N/A,982,N/A,N/A
Kyndall,N/A,808,N/A,N/A
Kynlee,N/A,747,N/A,N/A
Kyra,N/A,404,N/A,659
Kyree,804,N/A,674,N/A
Kyrie,866,N/A,227,N/A
Kyro,N/A,N/A,762,N/A
Kyson,704,N/A,481,N/A
Lacey,N/A,493,N/A,875
Lachlan,N/A,N/A,746,N/A
Laila,N/A,142,N/A,308
Lailah,N/A,705,N/A,N/A
Lainey,N/A,566,N/A,174
Lakelyn,N/A,N/A,N/A,983
Lakelynn,N/A,N/A,N/A,968
Lamar,782,N/A,N/A,N/A
Lana,N/A,442,N/A,422
Lance,496,N/A,792,N/A
Landen,245,N/A,748,N/A
Landon,34,N/A,86,N/A
Landry,669,995,N/A,N/A
Landyn,365,N/A,800,N/A
Lane,288,N/A,260,N/A
Laney,N/A,628,N/A,705
Langston,N/A,N/A,796,N/A
Lara,N/A,848,N/A,695
Larissa,N/A,853,N/A,N/A
Larry,424,N/A,889,N/A
Laura,N/A,280,N/A,363
Laurel,N/A,972,N/A,706
Lauren,N/A,72,N/A,327
Lauryn,N/A,516,N/A,927
Lawrence,453,N/A,551,N/A
Lawson,531,N/A,409,N/A
Layla,N/A,31,N/A,29
Laylah,N/A,629,N/A,920
Laylani,N/A,N/A,N/A,947
Layne,594,N/A,662,921
Layton,613,N/A,637,N/A
Lea,N/A,611,N/A,785
Leah,N/A,33,N/A,52
Leandro,821,N/A,546,N/A
Leanna,N/A,748,N/A,942
Ledger,N/A,N/A,593,N/A
Lee,667,N/A,697,N/A
Legacy,N/A,N/A,735,484
Legend,834,N/A,132,N/A
Leia,N/A,673,N/A,256
Leif,N/A,N/A,841,N/A
Leighton,N/A,563,821,375
Leila,N/A,234,N/A,246
Leilani,N/A,224,N/A,59
Leilany,N/A,N/A,N/A,707
Leland,343,N/A,499,N/A
Lena,N/A,360,N/A,251
Lennon,814,N/A,668,229
Lennox,776,N/A,248,613
Lenora,N/A,N/A,N/A,932
Leo,134,N/A,22,N/A
Leon,357,N/A,158,N/A
Leona,N/A,914,N/A,534
Leonard,702,N/A,713,N/A
Leonardo,150,N/A,75,N/A
Leonel,443,N/A,327,N/A
Leonidas,783,N/A,422,N/A
Leroy,943,N/A,855,N/A
Leslie,N/A,263,N/A,652
Lesly,N/A,753,N/A,N/A
Levi,55,N/A,12,N/A
Lewis,644,N/A,489,N/A
Lexi,N/A,249,N/A,439
Lexie,N/A,523,N/A,953
Leyla,N/A,721,N/A,593
Lia,N/A,351,N/A,248
Liam,6,N/A,1,N/A
Lian,N/A,N/A,687,N/A
Liana,N/A,546,N/A,450
Libby,N/A,915,N/A,N/A
Liberty,N/A,600,N/A,764
Lila,N/A,182,N/A,221
Lilah,N/A,311,N/A,219
Lilia,N/A,876,N/A,N/A
Lilian,N/A,464,N/A,575
Liliana,N/A,117,N/A,97
Lilianna,N/A,633,N/A,859
Lilith,N/A,820,N/A,270
Lillian,N/A,25,N/A,50
Lilliana,N/A,277,N/A,368
Lillianna,N/A,779,N/A,N/A
Lillie,N/A,495,N/A,762
Lilly,N/A,110,N/A,233
Lillyana,N/A,909,N/A,N/A
Lily,N/A,16,N/A,30
Lilyana,N/A,475,N/A,914
Lilyanna,N/A,870,N/A,N/A
Lina,N/A,770,N/A,578
Lincoln,132,N/A,54,N/A
Linda,N/A,639,N/A,807
Lindsay,N/A,708,N/A,N/A
Lindsey,N/A,524,N/A,N/A
Lionel,806,N/A,619,N/A
Lisa,N/A,710,N/A,933
Litzy,N/A,594,N/A,N/A
Liv,N/A,N/A,N/A,728
Livia,N/A,739,N/A,890
Lizbeth,N/A,605,N/A,N/A
Lochlan,N/A,N/A,802,N/A
Logan,21,456,33,372
Lola,N/A,231,N/A,262
London,537,94,1000,297
Londyn,N/A,195,N/A,222
Lorelai,N/A,736,N/A,480
Lorelei,N/A,533,N/A,442
Lorenzo,307,N/A,133,N/A
Loretta,N/A,N/A,N/A,816
